time,open,high,low,close,tick_volume,spread,real_volume
2014-01-14,1253.982,1255.149,1241.638,1243.325,80799,0,0
2014-01-15,1243.321,1243.935,1234.167,1240.944,90998,0,0
2014-01-16,1240.939,1245.016,1236.323,1241.999,84358,0,0
2014-01-17,1242.001,1254.812,1237.724,1253.681,88617,0,0
2014-01-19,1253.824,1260.768,1251.248,1256.161,3944,0,0
2014-01-20,1256.147,1258.065,1251.832,1255.181,31428,0,0
2014-01-21,1255.182,1255.211,1235.579,1242.852,91963,0,0
2014-01-22,1242.831,1243.517,1235.554,1236.983,54495,0,0
2014-01-23,1236.955,1265.25,1231.282,1262.505,119269,0,0
2014-01-24,1262.499,1272.447,1256.864,1269.796,123922,0,0
2014-01-26,1269.201,1278.708,1266.671,1275.367,4347,0,0
2014-01-27,1275.378,1276.339,1251.921,1257.956,113323,0,0
2014-01-28,1257.958,1261.317,1247.768,1252.504,94587,0,0
2014-01-29,1252.495,1269.955,1250.898,1266.607,119550,0,0
2014-01-30,1266.609,1267.498,1237.978,1244.713,100129,0,0
2014-01-31,1244.701,1254.832,1238.449,1244.016,92446,0,0
2014-02-02,1243.744,1243.919,1241.856,1243.566,2209,0,0
2014-02-03,1243.575,1266.139,1240.73,1259.564,102531,0,0
2014-02-04,1259.569,1260.714,1247.247,1252.825,82523,0,0
2014-02-05,1252.822,1274.154,1252.181,1258.928,92594,0,0
2014-02-06,1258.916,1266.909,1252.767,1256.446,74172,0,0
2014-02-07,1256.456,1271.66,1255.241,1267.021,94617,0,0
2014-02-09,1266.693,1269.693,1265.091,1267.274,2342,0,0
2014-02-10,1267.266,1277.76,1265.025,1273.794,78784,0,0
2014-02-11,1273.811,1293.644,1273.636,1286.771,101778,0,0
2014-02-12,1286.761,1296.134,1283.927,1291.692,57388,0,0
2014-02-13,1291.701,1302.74,1286.19,1300.301,96457,0,0
2014-02-14,1300.322,1321.043,1299.775,1318.292,103826,0,0
2014-02-16,1318.232,1324.028,1318.232,1323.37,3701,0,0
2014-02-17,1323.374,1339.869,1320.999,1328.302,44756,0,0
2014-02-18,1328.28,1329.036,1312.578,1320.431,101044,0,0
2014-02-19,1320.455,1322.218,1308.827,1311.749,61846,0,0
2014-02-20,1311.727,1324.855,1307.317,1320.57,123213,0,0
2014-02-21,1320.579,1328.327,1316.021,1323.971,95945,0,0
2014-02-23,1323.042,1325.588,1323.019,1323.916,1586,0,0
2014-02-24,1323.946,1338.849,1318.714,1335.505,114659,0,0
2014-02-25,1335.517,1343.502,1331.147,1340.919,101559,0,0
2014-02-26,1340.954,1345.274,1322.23,1330.578,123212,0,0
2014-02-27,1330.584,1336.092,1323.808,1331.279,91443,0,0
