time,open,high,low,close,tick_volume,spread,real_volume
2016-11-20,1215.978,1220.867,1170.905,1183.736,305149,0,0
2016-11-27,1183.601,1197.434,1160.631,1176.52,449287,0,0
2016-12-04,1176.601,1187.785,1156.207,1159.077,404835,0,0
2016-12-11,1158.451,1165.546,1122.608,1134.169,418862,0,0
2016-12-18,1133.831,1142.137,1125.675,1132.513,295296,0,0
2016-12-25,1133.214,1162.987,1131.581,1150.643,198135,0,0
2017-01-01,1150.334,1184.773,1145.971,1172.205,297964,0,0
2017-01-08,1172.961,1206.823,1171.683,1196.801,361758,0,0
2017-01-15,1196.721,1218.658,1195.746,1209.67,358236,0,0
2017-01-22,1209.401,1219.852,1180.381,1190.244,361770,0,0
2017-01-29,1190.091,1225.094,1188.137,1219.602,386728,0,0
2017-02-05,1218.242,1244.582,1218.242,1233.029,405906,0,0
2017-02-12,1232.653,1243.718,1216.666,1233.962,399114,0,0
2017-02-19,1234.515,1260.101,1226.047,1256.572,395187,0,0
2017-02-26,1257.695,1263.803,1222.899,1234.257,486602,0,0
2017-03-05,1233.07,1236.764,1194.984,1204.042,426747,0,0
2017-03-12,1204.41,1233.547,1197.355,1228.712,415661,0,0
2017-03-19,1229.07,1253.166,1226.89,1242.557,409095,0,0
2017-03-26,1245.475,1260.988,1239.686,1248.455,385432,0,0
2017-04-02,1249.401,1270.471,1243.685,1253.91,410867,0,0
2017-04-09,1253.975,1288.577,1247.118,1287.149,349571,0,0
2017-04-16,1290.301,1295.451,1273.751,1284.5,400848,0,0
2017-04-23,1275.755,1278.112,1259.654,1267.898,373323,0,0
2017-04-30,1268.175,1271.126,1225.708,1226.922,370264,0,0
2017-05-07,1223.04,1236.504,1214.251,1227.687,385425,0,0
2017-05-14,1228.175,1264.963,1227.007,1255.151,435873,0,0
2017-05-21,1257.175,1269.45,1247.883,1266.596,406161,0,0
2017-05-28,1268.075,1279.426,1258.961,1278.513,337628,0,0
2017-06-04,1279.964,1296.021,1264.616,1266.315,401308,0,0
2017-06-11,1267.102,1280.312,1251.381,1253.36,402093,0,0
2017-06-18,1254.325,1258.772,1240.722,1256.281,386468,0,0
2017-06-25,1257.245,1258.033,1234.845,1240.676,409660,0,0
