open,high,low,close,tick_volume,spread,real_volume
2869.4,2871.6,2866.7,2871.03,1280,5,0
2870.99,2875.29,2869.82,2874.87,1268,5,0
2875.17,2876.74,2874.26,2875.09,1194,5,0
2875.11,2875.38,2871.53,2872.81,1180,5,0
2872.91,2873.91,2872.08,2873.27,998,5,0
2873.19,2873.78,2871.41,2872.95,1024,5,0
2872.97,2873.59,2870.39,2870.98,1101,5,0
2870.98,2871.95,2866.49,2870.11,1125,5,0
2870.15,2870.94,2866.32,2866.65,942,5,0
2866.6,2866.68,2863.68,2865.62,1165,5,0
2865.65,2866.44,2862.72,2865.49,1187,5,0
2865.53,2868.76,2865.24,2866.98,986,5,0
2867.05,2869.0,2866.38,2867.98,955,5,0
2867.98,2868.18,2862.95,2863.57,1112,5,0
2863.57,2864.87,2862.34,2863.91,999,5,0
2863.93,2864.88,2862.32,2864.88,962,5,0
2864.93,2866.16,2862.31,2862.34,975,5,0
2862.16,2862.86,2859.97,2862.69,1281,5,0
2862.46,2863.06,2861.22,2862.2,294,5,0
2862.2,2863.35,2861.19,2863.17,288,5,0
2863.17,2865.08,2862.14,2864.86,321,5,0
2864.89,2867.18,2864.29,2867.02,375,11,0
2864.94,2870.38,2861.79,2866.59,450,5,0
2866.6,2868.88,2866.36,2868.7,459,5,0
2868.69,2869.01,2867.47,2868.54,336,5,0
2868.46,2870.97,2867.83,2869.23,528,5,0
2869.25,2869.99,2868.59,2869.73,459,5,0
2869.67,2869.71,2867.39,2867.91,380,12,0
2867.9,2869.57,2867.38,2869.22,399,5,0
2869.23,2869.97,2868.5,2869.79,476,6,0
2869.82,2870.81,2863.75,2865.46,1176,5,0
2865.42,2867.89,2864.94,2865.8,1051,5,0
2865.71,2870.01,2865.71,2869.22,1111,5,0
2869.36,2872.03,2868.3,2871.39,1108,5,0
2871.76,2873.28,2870.11,2870.19,1121,5,0
2870.09,2870.96,2868.31,2870.96,832,5,0
2870.96,2872.4,2870.13,2870.43,1025,5,0
2870.43,2872.74,2869.83,2870.71,974,5,0
2870.59,2870.8,2868.46,2869.91,921,5,0
2869.92,2869.98,2864.37,2865.07,1002,5,0
2865.03,2866.64,2864.61,2866.02,688,5,0
2865.98,2869.88,2865.97,2869.42,818,5,0
2869.35,2872.25,2869.29,2869.51,813,5,0
2869.41,2870.44,2869.18,2869.86,565,5,0
2869.85,2870.48,2869.04,2869.42,513,5,0
2869.36,2869.49,2868.32,2868.5,646,6,0
2868.56,2869.23,2866.9,2868.31,707,8,0
2868.41,2869.98,2867.44,2868.7,602,5,0
2868.84,2869.84,2867.48,2867.77,973,5,0
2867.88,2868.36,2865.42,2868.36,1020,5,0
2868.36,2869.66,2867.81,2868.61,986,5,0
2868.61,2870.14,2868.16,2869.09,855,5,0
2869.09,2871.39,2867.35,2867.5,949,5,0
2867.49,2867.49,2857.66,2859.06,1230,5,0
2859.0,2861.73,2858.18,2859.61,1002,5,0
2859.71,2861.71,2859.12,2860.91,1005,5,0
2860.85,2861.55,2858.34,2858.45,997,5,0
2858.45,2858.45,2855.05,2855.88,1180,5,0
2855.77,2856.97,2853.69,2855.43,1247,5,0
2855.44,2856.67,2848.94,2851.52,1200,5,0
2851.38,2858.56,2850.95,2856.39,1159,5,0
2856.73,2857.19,2854.09,2856.07,1106,5,0
2856.14,2859.75,2855.81,2859.13,1142,5,0
2859.32,2859.96,2855.81,2856.52,1045,5,0
2856.39,2859.97,2855.79,2858.33,948,5,0
2858.32,2859.86,2857.41,2859.43,934,5,0
2859.33,2860.05,2855.73,2857.13,1043,5,0
2857.18,2861.24,2857.13,2860.39,992,5,0
2860.16,2861.79,2859.57,2860.27,888,5,0
2860.11,2861.73,2857.9,2859.17,930,5,0
2858.64,2861.02,2858.51,2860.24,913,5,0
2860.09,2862.3,2858.3,2860.2,1093,5,0
2860.44,2867.11,2859.99,2865.51,1042,5,0
2865.55,2867.33,2864.6,2866.07,968,5,0
2866.06,2870.3,2865.95,2867.6,1291,5,0
2867.77,2868.3,2865.3,2867.24,973,5,0
2867.27,2868.72,2866.31,2866.78,1084,5,0
2866.8,2866.99,2863.62,2864.42,1124,5,0
2864.47,2864.48,2859.33,2861.64,1455,5,0
2861.68,2864.96,2860.21,2860.59,1331,5,0
2860.46,2863.77,2859.63,2859.82,1385,5,0
2859.61,2860.5,2855.56,2856.69,1455,5,0
2856.74,2857.78,2854.41,2854.73,1418,5,0
2854.84,2859.8,2854.54,2857.67,1423,5,0
2857.78,2858.32,2854.15,2854.77,1497,5,0
2854.67,2856.69,2841.14,2841.91,1568,5,0
2841.99,2843.73,2834.1,2843.72,1678,5,0
2843.67,2847.71,2843.57,2844.92,1491,5,0
2845.11,2851.14,2844.05,2849.01,1488,5,0
2849.04,2853.28,2848.66,2850.56,1487,5,0
2850.82,2852.78,2849.2,2852.48,1379,5,0
2852.49,2854.71,2850.36,2850.68,1342,5,0
2850.61,2853.87,2849.64,2853.33,1237,5,0
2853.35,2853.45,2848.86,2848.86,1138,5,0
2848.77,2851.95,2848.06,2849.18,1077,5,0
2849.22,2851.48,2849.05,2851.05,996,5,0
2851.12,2851.12,2848.89,2849.55,993,5,0
2849.41,2852.61,2849.13,2852.2,1070,5,0
2852.35,2852.68,2851.01,2851.42,1104,5,0
2851.41,2852.13,2849.87,2851.83,1198,5,0
2851.87,2852.83,2849.93,2852.57,929,5,0
2852.5,2853.6,2851.65,2852.57,980,5,0
2852.54,2852.66,2850.59,2851.25,1031,5,0
2851.36,2852.63,2851.12,2851.5,880,5,0
2851.37,2851.59,2850.37,2851.14,924,5,0
2851.12,2854.17,2851.01,2853.81,940,5,0
2853.8,2857.27,2853.59,2856.48,1056,5,0
2856.52,2856.72,2854.26,2854.48,1092,5,0
2854.43,2856.01,2854.33,2855.63,1101,5,0
2855.78,2856.62,2853.85,2856.42,1153,5,0
2856.49,2856.87,2855.36,2855.37,418,8,0
2855.26,2855.75,2854.94,2855.59,322,9,0
2855.6,2857.13,2855.39,2857.08,358,6,0
2857.09,2857.21,2855.55,2855.55,309,15,0
2855.66,2856.67,2855.63,2856.37,423,11,0
2856.42,2858.01,2856.32,2857.61,392,12,0
2857.57,2858.93,2857.38,2858.54,373,11,0
2858.46,2858.46,2856.76,2858.05,361,5,0
2858.05,2859.52,2858.05,2859.07,310,9,0
2859.12,2860.33,2859.01,2859.82,347,5,0
2859.8,2860.49,2859.72,2859.97,370,5,0
2859.98,2860.11,2858.03,2858.42,689,5,0
2858.38,2859.98,2857.73,2858.62,1057,5,0
2858.54,2864.27,2858.42,2862.93,1048,5,0
2862.82,2866.74,2862.45,2866.0,1050,5,0
2866.03,2868.24,2865.35,2866.27,1033,5,0
2866.17,2868.5,2865.51,2867.04,953,8,0
2867.07,2869.3,2867.07,2868.49,761,5,0
2868.59,2869.02,2867.38,2867.81,877,5,0
2867.84,2868.82,2867.25,2868.78,721,5,0
2868.75,2870.63,2867.7,2868.03,894,7,0
2868.11,2868.43,2867.13,2867.4,873,6,0
2867.44,2868.82,2867.14,2868.63,652,5,0
2868.67,2868.89,2866.05,2867.12,701,5,0
2867.19,2868.68,2866.97,2868.48,568,7,0
2868.5,2869.24,2867.83,2868.72,632,5,0
2868.53,2869.06,2868.11,2868.59,494,5,0
2868.55,2869.52,2866.17,2866.4,587,5,0
2866.6,2866.82,2865.22,2866.56,545,5,0
2866.57,2867.03,2864.95,2865.16,562,5,0
2865.09,2865.37,2862.77,2863.54,955,5,0
2863.71,2864.14,2862.04,2862.05,943,5,0
2861.92,2863.36,2860.52,2862.79,991,5,0
2862.89,2866.11,2861.73,2863.61,1082,5,0
2863.61,2863.65,2860.81,2861.87,943,7,0
2861.68,2862.73,2859.02,2860.65,994,5,0
2860.61,2864.23,2860.07,2864.18,929,5,0
2864.25,2865.54,2863.12,2863.64,880,5,0
2863.8,2865.24,2863.46,2864.19,934,5,0
2864.24,2865.75,2863.42,2864.24,687,8,0
2864.25,2865.86,2863.37,2865.3,749,5,0
2865.48,2866.69,2863.3,2863.61,895,5,0
2863.71,2865.45,2863.35,2863.98,974,6,0
2863.88,2866.66,2863.4,2866.29,762,5,0
2866.13,2870.65,2865.54,2867.86,1255,5,0
2868.22,2869.62,2866.89,2869.55,916,5,0
2869.51,2869.8,2867.71,2869.36,808,5,0
2869.37,2870.49,2868.81,2868.97,821,9,0
2868.98,2869.25,2866.76,2867.15,883,5,0
2867.14,2867.15,2863.47,2866.35,1034,5,0
2866.4,2867.42,2865.99,2866.49,915,5,0
2866.33,2867.69,2865.04,2867.55,807,7,0
2867.42,2868.07,2865.06,2866.44,929,12,0
2866.56,2867.6,2865.61,2866.54,829,5,0
2866.07,2867.36,2864.97,2866.32,754,5,0
2866.13,2868.22,2865.49,2867.63,732,6,0
2867.74,2867.97,2865.32,2865.55,927,9,0
2865.69,2866.8,2864.26,2866.43,895,5,0
2866.42,2867.0,2864.77,2866.2,885,5,0
2866.04,2866.04,2863.49,2863.61,913,5,0
2863.63,2864.91,2861.28,2861.57,1335,5,0
2861.55,2864.45,2860.36,2864.45,1174,5,0
2865.49,2870.69,2852.39,2862.98,1819,5,0
2863.03,2864.3,2858.88,2862.41,1482,5,0
2862.52,2865.17,2856.18,2864.77,1605,5,0
2864.74,2875.16,2864.24,2873.61,1568,5,0
2873.88,2878.34,2871.2,2877.26,1616,5,0
2877.24,2878.05,2872.61,2876.04,1372,5,0
2874.1,2881.32,2873.35,2878.9,1578,5,0
2879.49,2883.3,2879.11,2882.88,1440,5,0
2883.08,2886.14,2882.32,2884.78,1337,5,0
2884.78,2886.68,2878.62,2880.37,1455,5,0
2880.48,2881.43,2870.32,2871.49,1552,5,0
2871.63,2872.46,2865.34,2869.51,1468,5,0
2869.64,2870.4,2860.85,2862.05,1473,5,0
2861.96,2864.25,2860.46,2860.76,1354,5,0
2860.71,2862.66,2856.4,2858.98,1443,5,0
2858.96,2860.06,2855.65,2857.93,1353,5,0
2857.96,2859.06,2853.25,2858.62,1214,7,0
2858.82,2860.52,2855.68,2860.23,1100,5,0
2860.17,2863.69,2859.81,2863.28,1013,5,0
2863.23,2865.2,2862.55,2863.01,918,5,0
2862.89,2864.88,2861.55,2861.9,879,6,0
2861.95,2862.58,2860.57,2861.34,868,5,0
2861.46,2863.38,2860.69,2862.16,868,5,0
2862.35,2862.46,2860.32,2861.43,817,5,0
2861.43,2861.43,2859.1,2860.45,783,6,0
2860.42,2862.54,2859.73,2859.73,664,5,0
2859.67,2863.8,2859.55,2862.74,1011,5,0
2862.97,2862.97,2859.4,2860.09,995,6,0
2860.05,2861.55,2859.67,2859.99,975,12,0
2860.05,2861.56,2859.67,2860.58,1132,5,0
2860.65,2863.04,2859.98,2862.49,491,15,0
2862.51,2863.38,2861.98,2862.78,344,7,0
2862.82,2862.91,2860.28,2861.03,263,15,0
2861.03,2861.99,2860.31,2861.3,267,5,0
2857.21,2863.58,2854.81,2863.11,924,8,0
2863.17,2869.71,2862.45,2869.61,716,6,0
2869.5,2870.47,2866.68,2869.23,783,5,0
2869.23,2869.23,2866.7,2867.64,683,7,0
2867.64,2869.2,2865.86,2866.3,811,7,0
2866.32,2868.09,2865.9,2867.22,630,5,0
2867.18,2868.93,2867.16,2867.19,598,5,0
2867.15,2868.07,2865.93,2868.02,628,6,0
2868.03,2876.54,2867.79,2870.98,1296,5,0
2871.1,2871.35,2868.49,2868.89,1137,9,0
2868.79,2869.63,2866.03,2867.59,1197,5,0
2867.66,2871.98,2866.77,2871.89,1161,12,0
2871.96,2874.25,2871.23,2872.28,974,5,0
2872.31,2875.0,2872.19,2874.05,800,5,0
2874.02,2874.33,2871.96,2874.19,905,5,0
2874.33,2874.64,2871.99,2873.8,1042,5,0
2873.76,2874.49,2871.28,2873.35,829,9,0
2873.32,2874.36,2872.28,2873.31,845,5,0
2873.42,2874.47,2872.47,2873.43,534,5,0
2873.55,2875.69,2873.45,2875.51,563,9,0
2875.61,2877.35,2874.3,2877.22,733,7,0
2877.29,2877.55,2876.37,2877.17,606,13,0
2877.26,2879.34,2875.75,2878.2,578,8,0
2878.22,2879.66,2877.82,2879.12,669,6,0
2879.41,2880.11,2878.68,2879.09,554,7,0
2878.93,2879.28,2877.87,2878.78,818,11,0
2879.02,2879.02,2877.48,2878.54,918,9,0
2878.48,2879.27,2876.03,2879.27,997,8,0
2879.45,2883.52,2878.86,2882.35,1126,5,0
2882.39,2885.16,2882.14,2884.64,1029,6,0
2884.83,2885.97,2884.1,2885.88,925,8,0
2885.92,2892.12,2885.3,2888.23,1230,5,0
2888.18,2889.35,2886.62,2889.04,969,5,0
2888.96,2892.39,2888.88,2892.29,1112,5,0
2892.44,2895.66,2892.35,2893.59,1010,6,0
2893.55,2896.51,2891.0,2895.45,1135,7,0
2895.5,2896.58,2893.31,2894.18,1167,5,0
2893.98,2895.96,2892.23,2895.15,1179,5,0
2895.0,2898.79,2894.38,2897.42,1210,5,0
2897.47,2898.72,2896.16,2896.68,1005,8,0
